authors,crawl_time,download_url,keyword,publication,publicationDate,publisher,search,snippet,title
Peter A. Freeman,2019-10-15 19:18:00,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5489/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",July 2006,ACM,51,Three forward-looking projects depend on experimentation under real-world conditions.,Back to experimentation
"Ya Xue,Xuejun Liao,Lawrence Carin,Balaji Krishnapuram",2019-10-15 19:18:00,https://dl.acm.org/ft_gateway.cfm?id=1248661&ftid=423015&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2008,JMLR.org,51,"Consider the problem of learning logistic-regression models for multiple classification tasks, where the training data set for each task is not drawn from the same statistical distribution. In such a multi-task learning (MTL) scenario, it is necessary to identify groups of similar tasks that should be learned jointly. Relying on ...",Multi-Task Learning for Classification with Dirichlet Process Priors
"Joris M. Mooij,Hilbert J. Kappen",2019-10-15 19:18:00,https://dl.acm.org/ft_gateway.cfm?id=1248697&ftid=423051&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",October 2008,JMLR.org,51,"We propose a method to improve approximate inference methods by correcting for the influence of loops in the graphical model. The method is a generalization and alternative implementation of a recent idea from Montanari and Rizzo (2005). It is applicable to arbitrary factor graphs, provided that the size of the ...",Loop Corrections for Approximate Inference on Factor Graphs
"Avi Goldfarb,Catherine Tucker",2019-10-15 19:18:00,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/565/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",October 2018,ACM,51,Examining a profitable side of the long tail of advertising that is not possible under the traditional broadcast advertising model.,Economic and business dimensions: Search engine advertising
Michael A. Cusumano,2019-10-15 19:18:00,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5447/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",February 2008,ACM,51,Surveying the basic elements needed for globally distributed teams to function smoothly and efficiently.,Managing software development in globally distributed teams
Rodney Brooks,2019-10-15 19:18:00,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5482/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",July 2006,ACM,51,"Expect new ways to understand computation, computational abstractions for our computing machinery, and connections between people and their information sources, as well as each other.",The next 50 years
"Marco Reisert,Hans Burkhardt",2019-10-15 19:18:00,https://dl.acm.org/ft_gateway.cfm?id=1248674&ftid=423028&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2008,JMLR.org,51,This paper presents a new class of matrix valued kernels that are ideally suited to learn vector valued equivariant functions. Matrix valued kernels are a natural generalization of the common notion of a kernel. We set the theoretical foundations of so called equivariant matrix valued kernels. We work out several ...,Learning Equivariant Functions with Matrix Valued Kernels
David Roman,2019-10-15 19:18:01,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/548/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",October 2018,ACM,51,,A first look at the redesigned site
"Alisa Smirnova,Philippe Cudré-Mauroux",2019-10-15 19:18:01,https://dl.acm.org/ft_gateway.cfm?id=3241741&ftid=2018239&dwn=1,"Relation extraction, distant supervision, knowledge graph","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",February 2008,ACM,51,"Relation extraction is a subtask of information extraction where semantic relationships are extracted from natural language text and then classified. In essence, it allows us to acquire structured knowledge from unstructured text. In this article, we present a survey of relation extraction methods that leverage pre-existing structured or semi-structured data ...",Relation Extraction Using Distant Supervision: A Survey
Martin C. Rinard,2019-10-15 19:18:01,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4104/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",July 2006,ACM,51,,Technical perspective: Patching program errors
Cory Doctorow,2019-10-15 19:18:01,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3348/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",October 2018,ACM,51,"Future Tense, one of the revolving features on this page, presents stories from the intersection of computational science and technological speculation, their boundaries limited only by our ability to imagine what will and could be.",Future Tense: Pester power
David Roman,2019-10-15 19:18:01,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4102/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",July 2006,ACM,51,,Previewing the new CACM web site
"Alisson Brito,Rivalino Matias, Jr,Leandro Becker",2019-10-15 19:18:01,https://dl.acm.org/ft_gateway.cfm?id=3139662&ftid=1905475&dwn=1,,"ACM SIGOPS Operating Systems Review - Special Topics: Volume 51 Issue 1, August 2017",December 2008,ACM,51,,6th Brazilian Symposium on Computing System Engineering
Leah Hoffman,2019-10-15 19:18:01,https://dl.acm.org/https://cacm.acm.org/magazines/2008/7/5378/fulltext,,"Communications of the ACM - Web science: Volume 51 Issue 7, July 2008",October 2018,ACM,51,A conversation with the 2007 ACM A.M. Turing Award winners,Q&A: Talking model-checking technology
"Bryan Fink,Eric Knauft,Gene Zhang",2019-10-15 19:18:02,https://dl.acm.org/ft_gateway.cfm?id=3139651&ftid=1905476&dwn=1,,"ACM SIGOPS Operating Systems Review - Special Topics: Volume 51 Issue 1, August 2017",February 2008,ACM,51,Hyper-converged storage is the state-of-the-art for enterprise deployments. VMware's vSAN is the industry leader in this space. This article takes a look at some of vSAN's internal architecture and analysis frameworks to illustrate how modern distributed storage is designed and debugged.,vSAN: Modern Distributed Storage
"Alan Frieze,Ravi Kannan,Santosh Vempala",2019-10-15 19:18:02,https://dl.acm.org/ft_gateway.cfm?id=1039494&ftid=297443&dwn=1,"sampling, Matrix algorithms, low-rank approximation","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",July 2006,ACM,51,"We consider the problem of approximating a given m × n matrix A by another matrix of specified rank k , which is smaller than m and n . The Singular Value Decomposition (SVD) can be used to find the ""best"" such approximation. However, it takes time polynomial in m, ...",Fast monte-carlo algorithms for finding low-rank approximations
"Zahraa S. Abdallah,Mohamed Medhat Gaber,Bala Srinivasan,Shonali Krishnaswamy",2019-10-15 19:18:02,https://dl.acm.org/ft_gateway.cfm?id=3158645&ftid=1984553&dwn=1,"Activity recognition, adaptive learning, stream mining, transfer learning","ACM Computing Surveys (CSUR): Volume 51 Issue 4, September 2018",December 2008,ACM,51,"Activity recognition aims to provide accurate and opportune information on people’s activities by leveraging sensory data available in today’s sensory rich environments. Nowadays, activity recognition has become an emerging field in the areas of pervasive and ubiquitous computing. A typical activity recognition technique processes data streams that evolve from sensing ...",Activity Recognition with Evolving Data Streams: A Review
"Rui-Juan Jing,Marc Moreno Maza",2019-10-15 19:18:02,https://dl.acm.org/ft_gateway.cfm?id=3177798&ftid=1937806&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 3, September 2017",January 2018,ACM,51,"The Polyhedra library is dedicated to solving problems dealing with the integer points of polyhedral sets. Such problems include decomposing the integer points of such sets, solving parametric integer programs, performing dependence analysis in for-loop nests and determining the validity of certain Presburger formulas.",The polyhedra library in m
"Peter Ochieng,Swaib Kyanda",2019-10-15 19:18:02,https://dl.acm.org/ft_gateway.cfm?id=3211871&ftid=1990462&dwn=1,"Survey, mapping repair, ontology mapping, repair, scalability","ACM Computing Surveys (CSUR): Volume 51 Issue 4, September 2018",October 2018,ACM,51,"Ontologies have become a popular means of knowledge sharing and reuse. This has motivated the development of large-sized independent ontologies within the same or different domains with some overlapping information among them. To integrate such large ontologies, automatic matchers become an inevitable solution. However, the process of matching large ontologies ...",Large-Scale Ontology Matching: State-of-the-Art Analysis
"Pankaj K. Agarwal,Eran Nevo,János Pach,Rom Pinchasi,Micha Sharir,Shakhar Smorodinsky",2019-10-15 19:18:02,https://dl.acm.org/ft_gateway.cfm?id=972641&ftid=251072&dwn=1,"pseudo-circles, Arrangements, incidence problems","Journal of the ACM (JACM): Volume 51 Issue 2, March 2004",February 2008,ACM,51,A collection of simple closed Jordan curves in the plane is called a family of pseudo-circles if any two of its members intersect at most twice. A closed curve composed of two subarcs of distinct pseudo-circles is said to be an empty lens if the closed Jordan region that it ...,Lenses in arrangements of pseudo-circles and their applications
Ian Horrocks,2019-10-15 19:18:02,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3361/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",July 2006,ACM,51,"How ontologies provide the semantics, as explained here with the help of Harry Potter and his owl Hedwig.",Ontologies and the semantic web
"Hongyuan Liu,Mohamed Ibrahim,Onur Kayiran,Sreepathi Pai,Adwait Jog",2019-10-15 19:18:03,https://dl.acm.org/ft_gateway.cfm?id=3343345&ftid=2069707&dwn=1,,MICRO-51: Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,December 2008,IEEE Press,51,"The Automata Processor (AP) accelerates applications from domains ranging from machine learning to genomics. However, as a spatial architecture, it is unable to handle larger automata programs without repeated reconfiguration and re-execution. To achieve high throughput, this paper proposes for the first time architectural support for AP to efficiently execute ...",Architectural support for efficient large-scale automata processing
,2019-10-15 19:18:03,https://dl.acm.org/ft_gateway.cfm?id=3200142&ftid=1953858&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 4, December 2017",January 2018,ACM,51,Prof. Dongming Wang was elected as a Member of the Academia Europaea in 2017.,Dongming Wang elected member of the Academia Europaea
"Giulio Rossetti,Rémy Cazabet",2019-10-15 19:18:03,https://dl.acm.org/ft_gateway.cfm?id=3172867&ftid=1945925&dwn=1,"Dynamic networks, community discovery, temporal networks","ACM Computing Surveys (CSUR): Volume 51 Issue 2, June 2018",October 2018,ACM,51," Several research studies have shown that complex networks modeling real-world phenomena are characterized by striking properties: (i) they are organized according to community structure, and (ii) their structure evolves with time. Many researchers have worked on methods that can efficiently unveil substructures in complex networks, giving birth to the field ...",Community Discovery in Dynamic Networks: A Survey
Yakub Sebastian,2019-10-15 19:18:03,https://dl.acm.org/ft_gateway.cfm?id=3130347&ftid=1898459&dwn=1,,"ACM SIGIR Forum: Volume 51 Issue 1, June 2017",February 2008,ACM,51,Literature-based discovery (LBD) research aims at finding effective computational methods for retrieving previously unknown information connections between clusters of research papers from disparate research areas. Existing methods encompass two general approaches. The first approach searches for these unknown connections by examining the textual contents of research papers. In addition to ...,Literature-Based Discovery by Learning Heterogeneous Bibliographic Information Networks
Hiroshi Ishii,2019-10-15 19:18:03,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5393/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",July 2006,ACM,51,"Users sculpt and manipulate digital information throughsuch tangible media as clay, sand, and building models, coupled with underlying computation for design and analysis.",The tangible user interface and its evolution
"Fatemeh Shirazi,Milivoj Simeonovski,Muhammad Rizwan Asghar,Michael Backes,Claudia Diaz",2019-10-15 19:18:03,https://dl.acm.org/ft_gateway.cfm?id=3182658&ftid=1980041&dwn=1,"Anonymous communication, communication networks, routing protocols","ACM Computing Surveys (CSUR): Volume 51 Issue 3, July 2018",December 2008,ACM,51,"The Internet has undergone dramatic changes in the past 2 decades and now forms a global communication platform that billions of users rely on for their daily activities. While this transformation has brought tremendous benefits to society, it has also created new threats to online privacy, such as omnipotent governmental ...",A Survey on Routing in Anonymous Communication Protocols
Nikolaj Tatti,2019-10-15 19:18:03,https://dl.acm.org/ft_gateway.cfm?id=1248664&ftid=423018&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",January 2018,JMLR.org,51,The concepts of similarity and distance are crucial in data mining. We consider the problem of defining the distance between two data sets by comparing summary statistics computed from the data sets. The initial definition of our distance is based on geometrical notions of certain sets of distributions. We show ...,Distances between Data Sets Based on Summary Statistics
"Oren Etzioni,Michele Banko,Stephen Soderland,Daniel S. Weld",2019-10-15 19:18:04,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3344/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",October 2018,ACM,51,Targeted IE methods are transforming into open-ended techniques.,Open information extraction from the web
"Adrienne Decker,Mark Allen Weiss",2019-10-15 19:18:04,https://dl.acm.org/ft_gateway.cfm?id=3310221&ftid=2037844&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 1, January 2019",February 2008,ACM,51,"Following approval by the ACM SIG Governing Board and then the ACM Awards Committee, the SIGCSE Board is pleased to announce the creation of an ACM approved SIG award to commemorate the 50th SIGCSE Technical Symposium to be held in Minneapolis, MN February 27-March 1, 2019.",SIGCSE top ten symposium papers of all time award
,2019-10-15 19:18:04,https://dl.acm.org/ft_gateway.cfm?id=1342334&ftid=509906&dwn=1,,"Communications of the ACM - Web searching in a multilingual world: Volume 51 Issue 5, May 2008",July 2006,ACM,51,,2008 ACM Elections
Moshe Y. Vardi,2019-10-15 19:18:04,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5475/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",December 2008,ACM,51,"The French adage ""Plus ça change, plus c'est la même chose,"" or, the more things change, the more they stay the same, still rings true today. Reading over the essays of my predecessors, one recognizes the thread that runs through all of them, which is the constant need of CACM ...","CACM: past, present, and future"
"Robert C. Steinke,Gary J. Nutt",2019-10-15 19:18:04,https://dl.acm.org/ft_gateway.cfm?id=1017464&ftid=274348&dwn=1,"Distributed shared memory systems, memory consistency model lattice, memory consistency models","Journal of the ACM (JACM): Volume 51 Issue 5, September 2004",January 2018,ACM,51,"The traditional assumption about memory is that a read returns the value written by the most recent write. However, in a shared memory multiprocessor several processes independently and simultaneously submit reads and writes resulting in a partial order of memory operations. In this partial order, the definition of most recent ...",A unified theory of shared memory consistency
Jun Rekimoto,2019-10-15 19:18:04,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5385/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",October 2018,ACM,51,"Interaction with computers can make use of our whole physical and even emotional selves, as demonstrated by such emerging systems as HoloWall, SmartSkin, and PreSense.",Organic interaction technologies: from stone to skin
"Matteo Turilli,Mark Santcroos,Shantenu Jha",2019-10-15 19:18:04,https://dl.acm.org/ft_gateway.cfm?id=3177851&ftid=1957670&dwn=1,"Distributed applications, Pilot-Jobs, distributed systems","ACM Computing Surveys (CSUR): Volume 51 Issue 2, June 2018",February 2008,ACM,51,"Pilot-Job systems play an important role in supporting distributed scientific computing. They are used to execute millions of jobs on several cyberinfrastructures worldwide, consuming billions of CPU hours a year. With the increasing importance of task-level parallelism in high-performance computing, Pilot-Job systems are also witnessing an adoption beyond traditional domains. ...",A Comprehensive Perspective on Pilot-Job Systems
"Federica Paci,Anna Squicciarini,Nicola Zannone",2019-10-15 19:18:04,https://dl.acm.org/ft_gateway.cfm?id=3146025&ftid=1937767&dwn=1,"Collaborative access control, data governance, literature study, policy specification, usability","ACM Computing Surveys (CSUR): Volume 51 Issue 1, April 2018",July 2006,ACM,51,"The last decades have seen a growing interest and demand for community-centered collaborative systems and platforms. These systems and platforms aim to provide an environment in which users can collaboratively create, share, and manage resources. While offering attractive opportunities for online collaboration and information sharing, they also open several security ...",Survey on Access Control for Community-Centered Collaborative Systems
"Isabel Wagner,David Eckhoff",2019-10-15 19:18:05,https://dl.acm.org/ft_gateway.cfm?id=3168389&ftid=1980046&dwn=1,"Privacy metrics, measuring privacy","ACM Computing Surveys (CSUR): Volume 51 Issue 3, July 2018",June 2018,ACM,51,"The goal of privacy metrics is to measure the degree of privacy enjoyed by users in a system and the amount of protection offered by privacy-enhancing technologies. In this way, privacy metrics contribute to improving user privacy in the digital world. The diversity and complexity of privacy metrics in the ...",Technical Privacy Metrics: A Systematic Survey
Adrienne Decker,2019-10-15 19:18:05,https://dl.acm.org/ft_gateway.cfm?id=3329112&ftid=2053191&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",January 2018,ACM,51,"The SIGCSE Board created the SIGCSE Top Ten Symposium Papers of all Time Award to commemorate the 50th SIGCSE Technical Symposium held in Minneapolis, MN February 27-March 2, 2019. This award was created to recognize the outstanding papers published in the first 49 proceedings of the Annual ACM Technical Symposium ...",SIGCSE top ten symposium papers of all time award winners
Pamela Samuelson,2019-10-15 19:18:05,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5480/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",October 2018,ACM,51,Considering how intellectual property law has evolved in response to advances in computing technologies.,Hacking intellectual property law
"Wei Pan,Xiaotong Shen",2019-10-15 19:18:05,https://dl.acm.org/ft_gateway.cfm?id=1248698&ftid=423052&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",February 2008,JMLR.org,51,"Variable selection in clustering analysis is both challenging and important. In the context of model-based clustering analysis with a common diagonal covariance matrix, which is especially suitable for ""high dimension, low sample size"" settings, we propose a penalized likelihood approach with an L 1 penalty function, automatically realizing variable selection ...",Penalized Model-Based Clustering with Application to Variable Selection
"Jim Horning,Peter G. Neumann",2019-10-15 19:18:05,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5390/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",July 2006,ACM,51,,Risks of neglecting infrastructure
Brian Hayes,2019-10-15 19:18:05,https://dl.acm.org/https://cacm.acm.org/magazines/2008/7/5368/fulltext,,"Communications of the ACM - Web science: Volume 51 Issue 7, July 2008",June 2018,ACM,51,"As software migrates from local PCs to distant Internet servers, users and developers alike go along for the ride.",Cloud computing
"Alan Frieze,Ravi Kannan,Santosh Vempala",2019-10-15 19:18:05,https://dl.acm.org/ft_gateway.cfm?id=1039494&ftid=297443&dwn=1,"sampling, Matrix algorithms, low-rank approximation","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",January 2018,ACM,51,"We consider the problem of approximating a given m × n matrix A by another matrix of specified rank k , which is smaller than m and n . The Singular Value Decomposition (SVD) can be used to find the ""best"" such approximation. However, it takes time polynomial in m, ...",Fast monte-carlo algorithms for finding low-rank approximations
Michael A. Cusumano,2019-10-15 19:18:06,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5447/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",October 2018,ACM,51,Surveying the basic elements needed for globally distributed teams to function smoothly and efficiently.,Managing software development in globally distributed teams
Daniel Lichtblau,2019-10-15 19:18:06,https://dl.acm.org/ft_gateway.cfm?id=3151134&ftid=1913728&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 2, June 2017",February 2008,ACM,51,"The East Coast Computer Algebra Day 2017 (ECCAD 2017) was hosted byWolfram Research on Saturday, April 29, 2017.",East coast copmuter algebra day 2017
 CACM Staff,2019-10-15 19:18:06,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/547/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",July 2006,ACM,51,,Even science would benefit from auctions
"James Larus,Christos Kozyrakis",2019-10-15 19:18:06,https://dl.acm.org/https://cacm.acm.org/magazines/2008/7/5375/fulltext,,"Communications of the ACM - Web science: Volume 51 Issue 7, July 2008",June 2018,ACM,51,Is TM the answer for improving parallel programming?,Transactional memory
"Sizhuo Zhang,Andrew Wright,Thomas Bourgeat, Arvind",2019-10-15 19:18:06,https://dl.acm.org/ft_gateway.cfm?id=3343268&ftid=2069661&dwn=1,,MICRO-51: Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,January 2018,IEEE Press,51,"We present a framework called Composable Modular Design (CMD) to facilitate the design of out-of-order (OOO) processors. In CMD, (1) The interface methods of modules provide instantaneous access and perform atomic updates to the state elements inside the module; (2) Every interface method is guarded , i.e., it cannot be ...",Composable building blocks to open up processor design
"Alisa Smirnova,Philippe Cudré-Mauroux",2019-10-15 19:18:06,https://dl.acm.org/ft_gateway.cfm?id=3241741&ftid=2018239&dwn=1,"Relation extraction, distant supervision, knowledge graph","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",October 2018,ACM,51,"Relation extraction is a subtask of information extraction where semantic relationships are extracted from natural language text and then classified. In essence, it allows us to acquire structured knowledge from unstructured text. In this article, we present a survey of relation extraction methods that leverage pre-existing structured or semi-structured data ...",Relation Extraction Using Distant Supervision: A Survey
"Kristen Grauman,Trevor Darrell",2019-10-15 19:18:06,https://dl.acm.org/ft_gateway.cfm?id=1248685&ftid=423039&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",February 2008,JMLR.org,51,"In numerous domains it is useful to represent a single example by the set of the local features or parts that comprise it. However, this representation poses a challenge to many conventional machine learning techniques, since sets may vary in cardinality and elements lack a meaningful ordering. Kernel methods can ...",The Pyramid Match Kernel: Efficient Learning with Sets of Features
"Sizhuo Zhang,Andrew Wright,Thomas Bourgeat, Arvind",2019-10-15 19:18:06,https://dl.acm.org/ft_gateway.cfm?id=3343268&ftid=2069661&dwn=1,,MICRO-51: Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,July 2006,IEEE Press,51,"We present a framework called Composable Modular Design (CMD) to facilitate the design of out-of-order (OOO) processors. In CMD, (1) The interface methods of modules provide instantaneous access and perform atomic updates to the state elements inside the module; (2) Every interface method is guarded , i.e., it cannot be ...",Composable building blocks to open up processor design
Judithe Sheard,2019-10-15 19:18:07,https://dl.acm.org/ft_gateway.cfm?id=3329113&ftid=2053185&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",October 2018,ACM,51,The SIGCSE Board invites applications for the next round of SIGCSE Special Project Grants. The deadline for this round is May 15 2019.,Special projects grants
"Peter Marks,Peter Polak,Scott McCoy,Dennis Galletta",2019-10-15 19:18:07,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5448/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",June 2018,ACM,51,"How managerial prompting, group identification, and social value orientation affect knowledge-sharing behavior.",Sharing knowledge
Donna Harman,2019-10-15 19:18:07,https://dl.acm.org/ft_gateway.cfm?id=3130357&ftid=1898486&dwn=1,,"ACM SIGIR Forum - SIGIR Test-of-Time Awardees 1978-2001: Volume 51 Issue 2, July 2017",October 2018,ACM,51,,Towards Interactive Query Expansion
"Michael Biehl,Anarta Ghosh,Barbara Hammer",2019-10-15 19:18:07,https://dl.acm.org/ft_gateway.cfm?id=1248672&ftid=423026&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",February 2008,JMLR.org,51,"Learning vector quantization (LVQ) schemes constitute intuitive, powerful classification heuristics with numerous successful applications but, so far, limited theoretical background. We study LVQ rigorously within a simplifying model situation: two competing prototypes are trained from a sequence of examples drawn from a mixture of Gaussians. Concepts from statistical physics and ...",Dynamics and Generalization Ability of LVQ Algorithms
Hal Berghel,2019-10-15 19:18:07,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5401/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",June 2018,ACM,51,Boutique computer activity mining vs. personal privacy management.,BRAP forensics
Marc Teboulle,2019-10-15 19:18:07,https://dl.acm.org/ft_gateway.cfm?id=1248662&ftid=423016&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",October 2018,JMLR.org,51,"Center-based partitioning clustering algorithms rely on minimizing an appropriately formulated objective function, and different formulations suggest different possible algorithms. In this paper, we start with the standard nonconvex and nonsmooth formulation of the partitioning clustering problem. We demonstrate that within this elementary formulation, convex analysis tools and optimization theory provide ...",A Unified Continuous Optimization Framework for Center-Based Clustering Methods
"Roel Vertegaal,Ivan Poupyrev",2019-10-15 19:18:08,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5396/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",October 2018,ACM,51,,Introduction
"Cláudio Gomes,Casper Thule,David Broman,Peter Gorm Larsen,Hans Vangheluwe",2019-10-15 19:18:08,https://dl.acm.org/ft_gateway.cfm?id=3179993&ftid=1976427&dwn=1,"Co-simulation, compositionality, simulation","ACM Computing Surveys (CSUR): Volume 51 Issue 3, July 2018",June 2018,ACM,51,"Modeling and simulation techniques are today extensively used both in industry and science. Parts of larger systems are, however, typically modeled and simulated by different techniques, tools, and algorithms. In addition, experts from different disciplines use various modeling and simulation techniques. Both these facts make it difficult to study coupled ... ",Co-Simulation: A Survey
"Markus Kalisch,Peter Bühlmann",2019-10-15 19:18:08,https://dl.acm.org/ft_gateway.cfm?id=1248681&ftid=423035&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",January 2018,JMLR.org,51,"We consider the PC-algorithm (Spirtes et al., 2000) for estimating the skeleton and equivalence class of a very high-dimensional directed acyclic graph (DAG) with corresponding Gaussian distribution. The PC-algorithm is computationally feasible and often very fast for sparse problems with many nodes (variables), and it has the attractive property to ...",Estimating High-Dimensional Directed Acyclic Graphs with the PC-Algorithm
"Albert Heinle,Wolfram Koepf,Wolfram Sperber",2019-10-15 19:18:08,https://dl.acm.org/ft_gateway.cfm?id=3096731&ftid=1874343&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 1, March 2017",October 2018,ACM,51,"Mathematical software plays an increasing role in mathematics and key technologies. But to find and get information about software is expensive. Missing metadata standards, e.g., the citation of software, are one of the reasons. In the following some recent developmentsare described how the community can contribute to a better information ...",Some steps to improve software information
"Amrit Tiwana,Ashley A. Bush,Hiroshi Tsuji,Kenichi Yoshida,Akito Sakurai",2019-10-15 19:18:08,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/527/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",February 2008,ACM,51,,Myths and paradoxes in Japanese IT offshoring
,2019-10-15 19:18:08,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5383/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",October 2018,ACM,51,,Forum
Diane Crawford,2019-10-15 19:18:08,https://dl.acm.org/ft_gateway.cfm?id=1327490&ftid=476268&dwn=1,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",June 2018,ACM,51,A preview of things to come.,Introduction
 CACM Staff,2019-10-15 19:18:09,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/547/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",January 2018,ACM,51,,Even science would benefit from auctions
"Valter Crescenzi,Giansalvatore Mecca",2019-10-15 19:18:09,https://dl.acm.org/ft_gateway.cfm?id=1017462&ftid=274346&dwn=1,"relational model, Information extraction, wrappers","Journal of the ACM (JACM): Volume 51 Issue 5, September 2004",October 2018,ACM,51,"Information extraction from websites is nowadays a relevant problem, usually performed by software modules called wrappers. A key requirement is that the wrapper generation process should be automated to the largest extent, in order to allow for large-scale extraction tasks even in presence of changes in the underlying sites. So ...",Automatic information extraction from large websites
"Seokwoo Song,Sridhar Nerur,James T. C. Teng",2019-10-15 19:18:09,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/529/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",February 2008,ACM,51,,Understanding the influence of network positions and knowledge processing styles
Andrew Rosenbloom,2019-10-15 19:18:09,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5494/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",October 2018,ACM,51,,Introduction
